案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
Longcheer Technology: A Chinese Force that Leads Global Smartphone Design,FDC-14039-2X-AE,"Longcheer Technology (Shanghai) Co.,Ltd.",,综合管理,互联网/信息/通讯,复旦大学管理学院,案例文章,MBA,2019-12-01,"Case Center, FDSM",,英文,"Business Startup,Smartphone Industry,Talent Managment,China Mobile Phone Industry",科创,11,0,"Longcheer Technology (Shanghai) Co.,Ltd., founded in 2002, excelled in color-screen multimedia mobile phone design due to Du Junhong's innovative strategies. However, intense competition and over 200 companies entering the industry in 2003 impacted profit margins. To ensure sustainable growth, Longcheer must adapt to the evolving industry landscape and find strategic solutions for long-term development."
IDEO：“设计以人为本”——迪伊欧创意设计（上海）有限公司,FDC-13028-1X-AC,迪伊欧创意设计（上海）有限公司,doi.org/10.12156/FUDAN.CASE201302901,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,设计外包,,12,0,本文讲述了迪伊欧创意设计（上海）有限公司颠覆传统的设计业务流程，实现从“商业思维到“设计思维”的转变，充分运用“混血”智慧在中国市场实现可持续增长的故事。
“外来和尚”的人力资源创新经——北京外企德科人力资源服务上海有限公司,FDC-13029-1X-AC,北京外企德科人力资源服务上海有限公司,doi.org/10.12156/FUDAN.CASE201303001,"创新创业,服务管理",专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,人力外包,,10,0,作为北京人力资源外包服务行业的龙头老大，北京外企人力资源服务有限公司并没有满足于已有的市场份额，而是将触角伸向了外资企业总部更加集中的上海。
助力消费让未来“老有所养” ———上海德浓网络信息技术有限公司,FDC-13030-1X-AC,上海德浓网络信息技术有限公司,doi.org/10.12156/FUDAN.CASE201303101,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,积分养老,,9,0,成立于2010年的上海德浓网络信息技术有限公司是致力创造“消费养老”的互联网公司。自创立以来，公司已实现从零散的消费优惠到养老、慈善基金的转化，在B2F (商户对基金) 商业模式的基础上探索出了一条新路。
以品牌的力量改变中国——Interbrand百益通市场顾问（上海）有限公司,FDC-13031-1X-AC,Interbrand百益通市场顾问（上海）有限公司,doi.org/10.12156/FUDAN.CASE201303201,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,品牌咨询,,10,0,作为一家宗旨在于“创造和管理品牌价值”的专业机构，Interbrand作为全球领先的品牌咨询公司，致力于为全球大型品牌客户提供全方位一站式的品牌咨询服务。本案例复盘了Interbrand公司在中国市场近12年以来如何从品牌的价值溢价本质上出发，助力中国品牌走向世界的故事。
工程建设　造价先行 ———上海大华工程造价咨询有限公司,FDC-13032-1X-AC,上海大华工程造价咨询,doi.org/10.12156/FUDAN.CASE201303301,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,造价评估,,10,0,上海大华工程造价咨询有限公司脱胎于上海大华会计师事务所。经过十多年辛苦耕耘，公司形成了“全职业规划、全日工作制、专业建制“的工作作风和有效机制，从一家民营小公司发展成为工程造价咨询行业的翘楚。
打造中国医保服务的“规则引擎”——国药控股健康发展有限公司,FDC-13033-1X-AC,国药控股健康发展有限公司,doi.org/10.12156/FUDAN.CASE201303401,创新创业,生物技术/大健康,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,医保服务,中国式现代化,10,0,国药控股健康发展有限公司脱胎于原国有医疗机构的企业通过试点上海现代服务业综合试点工程。本文讲述了国药健康通过打造医药服务的全新行业规则，为保险公司和患者的用药提供更加有效的增值服务，从而带动了医疗行业的改革推进。
“松果”中的生活与商业艺术 ———上海松果艺术设计有限公司,FDC-13034-1X-AC,上海松果艺术设计有限公司,doi.org/10.12156/FUDAN.CASE201303501,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,设计外包,,10,0,上海松果艺术设计有限公司成立于2006年，前身为成立于德国的HanderInterCulture GmbH 公司。八年间，松果设计探索出了一条“西方现代精致形式＋东方传统文化内核”的原创设计道路，形成了“客户垂直、业务横向”的核心竞争力，收获了愈来愈多更加紧密的长期合作关系。
CIC：“社会化商业”的引导者——艾熹信息技术（上海）有限公司,FDC-13035-1X-AC,艾熹信息技术（上海）有限公司,doi.org/10.12156/FUDAN.CASE201303601,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,社会化媒体,,11,0,艾熹信息技术（上海）有限公司从创立伊始便牢牢占领社会化商业资讯提供商的领军地位，是中国最大的整合提供网络口碑分析工具、技术解决方案、社会化媒体研究、社会化商业咨询服务的第三方公司。本文讲述了CIC如何将这种模式引入中国，并根据本土化的情况进行深层次演进的故事。
８号桥的“８（发）达”之路 ———香港时尚生活集团,FDC-13036-1X-AC,香港时尚生活集团,doi.org/10.12156/FUDAN.CASE201303701,创新创业,房地产/租赁,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,商业园区,,10,0,位于上海市中心黄浦区繁华地段的8号桥创意产业集聚区脱胎于20世纪工业时代遗留的旧厂房。香港时尚生活集团通过精准的市场定位和严格的客户甄选，成功实现地块增值，并一步步将8号桥打造为“商业社区”服务平台，成为上海十一个地标性建筑之一。
提供HR整体服务的“中国智力” ———中智上海经济技术合作公司,FDC-13037-1X-AC,中智上海经济技术合作公司,doi.org/10.12156/FUDAN.CASE201303801,"创新创业,战略",专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,人力外包,,10,0,中国国际技术智力合作公司是唯一一家经过国务院批准、可以在全国各省市直接设立机构进行服务运营的全国性人力资源专业服务集团，并且最早建立了以15个重要城市为中心的全国性人力资源服务网络，可以说是人力资源外包服务行业的航空母舰。从业务规模角度来看，中智完全可以在各地市场乐享其成，但其下属位于上海的中智上海经济技术合作公司上海总经理石磊却不愿在总公司的荫庇下享清福，而是在原有市场成就的基础上，持续创新和转型，希望打造成为中国第一家人力资源服务整体供应商。
“木马”推动设计大潮流 ———上海木马工业产品设计有限公司,FDC-13038-1X-AC,上海木马工业产品设计有限公司,doi.org/10.12156/FUDAN.CASE201303901,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,设计外包,,11,0,在上海莫干山路50号这片闻名全国的创意园里，有一批以创新为生命的企业在蓬勃发展。面对国内工业设计领域产品定位大而全的现状，以及设计人才匮乏和价格战的行业发展瓶颈，作为中国最早的工业设计服务机构———上海木马工业产品设计公司以行业发展先驱的角色，通过传导其独特的“360度设计观”，带动了中国工业设计领域的创新发展潮流。
“社会企业”驱动创新养老 ——莱康企业集团,FDC-13039-1X-AC,莱康企业集团,doi.org/10.12156/FUDAN.CASE201304001,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,养老服务,中国式现代化,10,0,"中国的养老服务行业正处于成长期，莱康企业集团的成立，正是看到了养老机构对护理人员的大量需求。如何培训护理人员，留住护理人员，管理护理人员是该服务业面临的问题。莱康立足于养老服务与管理，在社会公共服务和企业商业化运作的融合发展模式上不断探索。
"
设计，不只是执行 ———上海洛可可整合设计有限公司,FDC-13040-1X-AC,上海洛可可整合设计有限公司,doi.org/10.12156/FUDAN.CASE201304101,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,设计外包,,11,0,自从2011年9月正式在8号桥创意园区入驻以来，洛可可的发展一直受到媒体及行业内的关注。两年，在“整合创新理念”下发展的洛可可客户数量迅速增长，洛可可设计的品牌和思想已经成为今天中国设计界和设计服务产业中一道亮眼的光芒。
“因有效而闻名”的国际品牌整合服务——葛瑞（Grey）集团,FDC-13041-1X-AC,葛瑞（Grey）集团,doi.org/10.12156/FUDAN.CASE201304201,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,广告服务,,10,0,葛瑞集团（GreyGroup，以下简称为葛瑞）进入中国市场已有20余年。本案例讲述了公司通过数字互动和创新实验室两大新兴服务模块为中国客户提供全线行销传播服务的故事。
建设供应链服务的“快车道” ———上海春宇供应链管理有限公司,FDC-13042-1X-AC,上海春宇供应链管理有限公司,doi.org/10.12156/FUDAN.CASE201304301,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,供应链服务,中国式现代化,9,0,本文讲述了上海春宇宙供应链管理有限公司如何借助贸易“秘籍”，为海内外客户提供贸易流通、物流整合和供应链金融的全方位服务，推动了中小企业的发展壮大。按照创始人薛光春的志向，春宇不仅仅是做一个供应链平台服务产品，而是希望争取做到供应链服务市场中的“Google”，为中国众多中小企业的发展链接供应链的“快车道”。他和春宇历经十年、求新求变的创业成长史是最好的注脚。
